user,repo,fun_exported
thomasp85,gganimate,exit_fly
thomasp85,gganimate,exit_manual
thomasp85,gganimate,exit_recolor
thomasp85,gganimate,exit_recolour
thomasp85,gganimate,exit_reset
thomasp85,gganimate,exit_shrink
thomasp85,gganimate,ffmpeg_renderer
thomasp85,gganimate,file_renderer
thomasp85,gganimate,frame_vars
thomasp85,gganimate,gg_animate
thomasp85,gganimate,gganimate
thomasp85,gganimate,gif_file
thomasp85,gganimate,gifski_renderer
thomasp85,gganimate,group_column
thomasp85,gganimate,knit_print.gganim
thomasp85,gganimate,knit_print.gif_image
thomasp85,gganimate,knit_print.sprite_image
thomasp85,gganimate,knit_print.video_file
thomasp85,gganimate,last_animation
thomasp85,gganimate,layer_type
thomasp85,gganimate,magick_renderer
thomasp85,gganimate,match_shapes
thomasp85,gganimate,save_animation
thomasp85,gganimate,set_last_animation
thomasp85,gganimate,shadow_mark
thomasp85,gganimate,shadow_null
thomasp85,gganimate,shadow_trail
thomasp85,gganimate,shadow_wake
thomasp85,gganimate,split_animation
thomasp85,gganimate,sprite_file
thomasp85,gganimate,sprite_renderer
thomasp85,gganimate,transition_components
thomasp85,gganimate,transition_events
thomasp85,gganimate,transition_filter
thomasp85,gganimate,transition_layers
thomasp85,gganimate,transition_manual
thomasp85,gganimate,transition_null
thomasp85,gganimate,transition_reveal
thomasp85,gganimate,transition_states
thomasp85,gganimate,transition_time
thomasp85,gganimate,tween_before_stat
thomasp85,gganimate,video_file
thomasp85,gganimate,view_follow
thomasp85,gganimate,view_static
thomasp85,gganimate,view_step
thomasp85,gganimate,view_step_manual
thomasp85,gganimate,view_zoom
thomasp85,gganimate,view_zoom_manual
thomasp85,ggfx,as_colourspace
thomasp85,ggfx,as_group
thomasp85,ggfx,as_reference
thomasp85,ggfx,blend_custom_raster
thomasp85,ggfx,blend_raster
thomasp85,ggfx,bloom_raster
thomasp85,ggfx,blur_raster
thomasp85,ggfx,ch_alpha
thomasp85,ggfx,ch_black
